,nome_candidato,uf,partido,estrelas_legisla_int,tempo_mandato,em_exercicio,tipo,gasto_gabinete,producao_legislativa,fiscalizacao,mobilizaca,alinhamento_partidario
335,Luiz Flávio Gomes,SP,PSB,2,1,Não,TITULAR,0.00,2.6,0.9,1.5,6.4
336,Luiz Lima,RJ,PL,4,3,Sim,TITULAR,182382.13,6.5,1.6,3.9,8.2
337,Luiz Nishimori,PR,PSD,2,3,Sim,TITULAR,185440.00,2.5,1.6,2.1,8.2
338,Luiz Philippe de Orleans e Bragança,SP,PL,4,3,Sim,TITULAR,169265.11,6.7,1.3,4.8,1.8
339,Luiza Erundina,SP,PSOL,4,3,Sim,TITULAR,147260.89,4.2,3.6,5.2,7.3
340,Luizão Goulart,PR,SOLIDARIEDADE,3,3,Sim,TITULAR,191248.32,5.6,0.4,3.6,7.3
341,Luizianne Lins,CE,PT,4,3,Sim,TITULAR,221368.65,3.4,3.6,4.5,9.1
342,Magda Mofatto,GO,PL,3,3,Sim,TITULAR,210590.59,2.8,2.4,2.1,8.2
343,Major Fabiana,RJ,PL,3,3,Sim,TITULAR,176218.99,3.2,1.1,3.3,9.1
344,Manuel Marcos,AC,REPUBLICANOS,2,1,Não,TITULAR,0.00,1.5,0.9,1.2,10.0
345,Mara Rocha,AC,MDB,3,3,Sim,TITULAR,214823.98,4.1,1.5,3.6,0.9
346,Marcão Gomes,RJ,PL,1,0,Não,SUPLENTE,0.00,0.7,0.0,0.6,10.0
347,Marcel van Hattem,RS,NOVO,3,3,Sim,TITULAR,57848.22,3.4,2.4,5.2,8.2
348,Marcelo Álvaro Antônio,MG,PL,2,3,Sim,TITULAR,196299.64,1.0,0.4,0.9,9.1
349,Marcelo Aro,MG,PP,2,3,Sim,TITULAR,190651.85,2.5,1.3,2.7,8.2
350,Marcelo Brum,RS,REPUBLICANOS,3,3,Não,SUPLENTE,79428.16,4.4,0.5,2.1,8.2
351,Marcelo Calero,RJ,PSD,3,3,Sim,TITULAR,77488.44,3.4,2.9,4.2,4.5
352,Marcelo Freixo,RJ,PSB,4,3,Sim,TITULAR,140654.22,5.2,4.4,5.8,8.2
